Time;In - ether1;In - sfp-sfpplus4 - modem;In - l2tp-out1;In - sfp1 - lantai 1;In - sfp2 - lantai 2;In - sfp3 - lantai 3;In - sfp4 - lantai 4;In - sfp5 - lantai 5;In - sfp-sfpplus1 - lantai 6;In - sfp-sfpplus2 - lantai 7;In - sfp-sfpplus3;Out - ether1;Out - sfp-sfpplus4 - modem;Out - l2tp-out1;Out - sfp1 - lantai 1;Out - sfp2 - lantai 2;Out - sfp3 - lantai 3;Out - sfp4 - lantai 4;Out - sfp5 - lantai 5;Out - sfp-sfpplus1 - lantai 6;Out - sfp-sfpplus2 - lantai 7;Out - sfp-sfpplus3
24/04/2024 18:35;0 b/s;13.5 Mb/s;0 b/s;27.8 kb/s;134 kb/s;105 kb/s;6.76 kb/s;358 kb/s;459 kb/s;27.8 kb/s;0 b/s;0 b/s;-827 kb/s;0 b/s;-334 kb/s;-372 kb/s;-36 kb/s;-1.5 kb/s;-3.8 Mb/s;-6.6 Mb/s;-582 kb/s;0 b/s
24/04/2024 18:40;0 b/s;14.9 Mb/s;0 b/s;25.1 kb/s;201 kb/s;147 kb/s;12.8 kb/s;497 kb/s;485 kb/s;38.8 kb/s;0 b/s;0 b/s;-1.1 Mb/s;0 b/s;-331 kb/s;-736 kb/s;-130 kb/s;-2.5 kb/s;-3.9 Mb/s;-7.4 Mb/s;-1.4 Mb/s;0 b/s
24/04/2024 18:45;0 b/s;24.3 Mb/s;0 b/s;43.7 kb/s;554 kb/s;182 kb/s;17.5 kb/s;824 kb/s;144 kb/s;139 kb/s;0 b/s;0 b/s;-1.4 Mb/s;0 b/s;-331 kb/s;-13 Mb/s;-426 kb/s;-4.9 kb/s;-4.2 Mb/s;-1.6 Mb/s;-2.3 Mb/s;0 b/s
24/04/2024 18:50;0 b/s;10.0 Mb/s;0 b/s;32.2 kb/s;1.83 Mb/s;48.1 kb/s;250 kb/s;501 kb/s;177 kb/s;85.6 kb/s;0 b/s;0 b/s;-2.3 Mb/s;0 b/s;-434 kb/s;-890 kb/s;-11 kb/s;-53 kb/s;-3.9 Mb/s;-2.8 Mb/s;-939 kb/s;0 b/s
24/04/2024 18:55;0 b/s;18.6 Mb/s;0 b/s;39.1 kb/s;319 kb/s;224 kb/s;246 kb/s;3.41 Mb/s;255 kb/s;73.1 kb/s;0 b/s;0 b/s;-4.0 Mb/s;0 b/s;-416 kb/s;-3.0 Mb/s;-1.3 Mb/s;-41 kb/s;-5.2 Mb/s;-4.7 Mb/s;-1.9 Mb/s;0 b/s
24/04/2024 19:00;0 b/s;7.37 Mb/s;0 b/s;63.5 kb/s;171 kb/s;197 kb/s;169 kb/s;254 kb/s;366 kb/s;41.0 kb/s;0 b/s;0 b/s;-823 kb/s;0 b/s;-389 kb/s;-122 kb/s;-212 kb/s;-27 kb/s;-411 kb/s;-3.5 Mb/s;-855 kb/s;0 b/s
24/04/2024 19:05;0 b/s;23.2 Mb/s;0 b/s;33.9 kb/s;524 kb/s;144 kb/s;291 kb/s;374 kb/s;297 kb/s;16.2 kb/s;0 b/s;0 b/s;-1.1 Mb/s;0 b/s;-382 kb/s;-10 Mb/s;-895 kb/s;-47 kb/s;-3.3 Mb/s;-6.8 Mb/s;-10 kb/s;0 b/s
24/04/2024 19:10;0 b/s;2.40 Mb/s;0 b/s;20.5 kb/s;138 kb/s;71.4 kb/s;109 kb/s;434 kb/s;54.2 kb/s;35.5 kb/s;0 b/s;0 b/s;-567 kb/s;0 b/s;-231 kb/s;-103 kb/s;-798 kb/s;-17 kb/s;-825 kb/s;-370 kb/s;-57 kb/s;0 b/s
24/04/2024 19:15;0 b/s;9.23 Mb/s;0 b/s;129 kb/s;352 kb/s;125 kb/s;160 kb/s;221 kb/s;430 kb/s;11.4 kb/s;0 b/s;0 b/s;-688 kb/s;0 b/s;-2.9 Mb/s;-181 kb/s;-87 kb/s;-26 kb/s;-1.5 Mb/s;-3.9 Mb/s;-1.4 kb/s;0 b/s
24/04/2024 19:20;0 b/s;16.2 Mb/s;0 b/s;55.1 kb/s;658 kb/s;115 kb/s;195 kb/s;247 kb/s;96.5 kb/s;157 kb/s;0 b/s;0 b/s;-908 kb/s;0 b/s;-446 kb/s;-11 Mb/s;-67 kb/s;-34 kb/s;-4.2 Mb/s;-172 kb/s;-49 kb/s;0 b/s
24/04/2024 19:25;0 b/s;20.1 Mb/s;0 b/s;485 kb/s;550 kb/s;397 kb/s;161 kb/s;525 kb/s;321 kb/s;12.7 kb/s;0 b/s;0 b/s;-1.8 Mb/s;0 b/s;-3.2 Mb/s;-10 Mb/s;-52 kb/s;-29 kb/s;-2.3 Mb/s;-2.8 Mb/s;-2.4 kb/s;0 b/s
